sweep_mode,sweep_value,target_freq_hz,amplitude_dbm
amplitude,3.0,3601050.0,-31.650397838155442
amplitude,3.1,3601050.0,-31.672076110803932
amplitude,3.2,3601050.0,-31.701612486451694
amplitude,3.3000000000000003,3601050.0,-31.77069304962751
amplitude,3.4000000000000004,3601050.0,-31.856897957730332
amplitude,3.5000000000000004,3601050.0,-31.95651311326069
amplitude,3.6000000000000005,3601050.0,-32.092997446994886
amplitude,3.7000000000000006,3601050.0,-32.223078967443776
amplitude,3.8000000000000007,3601050.0,-32.415097443115116
amplitude,3.900000000000001,3601050.0,-32.62603779765081
amplitude,4.000000000000001,3601050.0,-32.852989849764754
amplitude,4.1000000000000005,3601050.0,-33.10003386706494
amplitude,4.2,3601050.0,-33.365780170280104
amplitude,4.3,3601050.0,-33.687886610147906
amplitude,4.3999999999999995,3601050.0,-34.027338368780015
amplitude,4.499999999999999,3601050.0,-34.403877900043554
amplitude,4.599999999999999,3601050.0,-34.873356116676305
amplitude,4.699999999999998,3601050.0,-35.376005045364465
amplitude,4.799999999999998,3601050.0,-35.84836272336538
amplitude,4.899999999999998,3601050.0,-36.4345788805124
amplitude,4.999999999999997,3601050.0,-36.41671038205501
amplitude,5.099999999999997,3601050.0,-37.69027686081547
amplitude,5.199999999999997,3601050.0,-38.4735091288462
amplitude,5.299999999999996,3601050.0,-39.34543533350591
amplitude,5.399999999999996,3601050.0,-40.37303527497472
amplitude,5.499999999999996,3601050.0,-41.41070791037407
amplitude,5.599999999999995,3601050.0,-42.61872166008361
amplitude,5.699999999999995,3601050.0,-43.991043916616164
amplitude,5.7999999999999945,3601050.0,-45.786544235702415
amplitude,5.899999999999994,3601050.0,-48.309518950665684
amplitude,5.999999999999994,3601050.0,-51.570358572227654
